h3_id,total_ubertaxi_rides,total_yellowtaxi_rides,market_potential
892a1008803ffff,6,2,0.25
892a1008807ffff,15,25,0.625
892a100880fffff,3,0,0.0
892a1008813ffff,2,0,0.0
892a1008817ffff,5,17,0.7727272727272727
892a1008823ffff,14,9,0.391304347826087
892a1008827ffff,22,18,0.45
892a100882bffff,15,27,0.6428571428571429
892a100882fffff,13,17,0.5666666666666667
892a1008833ffff,8,16,0.6666666666666666
892a1008837ffff,14,14,0.5
892a100883bffff,16,28,0.6363636363636364
892a1008867ffff,4,1,0.2
892a1008877ffff,10,0,0.0
892a1008883ffff,5,19,0.7916666666666666
892a1008887ffff,2,7,0.7777777777777778
892a100888bffff,2,0,0.0
892a100888fffff,6,23,0.7931034482758621
892a1008893ffff,11,14,0.56
892a1008897ffff,3,6,0.6666666666666666
892a100889bffff,4,0,0.0
892a10088a3ffff,2,6,0.75
892a10088a7ffff,1,1,0.5
892a10088abffff,5,5,0.5
892a10088afffff,14,24,0.631578947368421
892a10088b3ffff,3,4,0.5714285714285714
892a10088bbffff,1,1,0.5
892a1008903ffff,26,37,0.5873015873015873
892a1008907ffff,29,43,0.5972222222222222
892a100890bffff,8,4,0.3333333333333333
892a100890fffff,43,46,0.5168539325842697
892a1008913ffff,24,48,0.6666666666666666
892a1008917ffff,40,62,0.6078431372549019
892a100891bffff,6,8,0.5714285714285714
892a1008923ffff,23,30,0.5660377358490566
892a1008927ffff,22,25,0.5319148936170213
892a100892bffff,48,64,0.5714285714285714
892a100892fffff,60,22,0.2682926829268293
892a1008933ffff,44,30,0.40540540540540543
892a1008937ffff,20,27,0.574468085106383
892a100893bffff,44,40,0.47619047619047616
892a1008943ffff,2,4,0.6666666666666666
892a100894bffff,31,28,0.4745762711864407
892a100894fffff,4,6,0.6
892a1008953ffff,3,7,0.7
892a100895bffff,23,20,0.46511627906976744
892a1008963ffff,2,4,0.6666666666666666
892a1008967ffff,40,43,0.5180722891566265
892a100896fffff,3,2,0.4
892a1008973ffff,11,3,0.21428571428571427
892a1008977ffff,76,52,0.40625
892a1008983ffff,11,26,0.7027027027027027
892a1008987ffff,20,23,0.5348837209302325
892a100898bffff,43,28,0.39436619718309857
892a100898fffff,21,33,0.6111111111111112
892a1008993ffff,0,9,1.0
892a1008997ffff,2,3,0.6
892a100899bffff,13,17,0.5666666666666667
892a10089a3ffff,27,37,0.578125
892a10089a7ffff,19,30,0.6122448979591837
892a10089abffff,37,39,0.5131578947368421
892a10089afffff,30,17,0.3617021276595745
892a10089b3ffff,22,15,0.40540540540540543
892a10089b7ffff,12,11,0.4782608695652174
892a10089bbffff,30,20,0.4
892a10089c7ffff,2,5,0.7142857142857143
892a10089cbffff,6,4,0.4
892a10089d7ffff,6,3,0.3333333333333333
892a10089dbffff,3,7,0.7
892a1008b03ffff,19,9,0.32142857142857145
892a1008b07ffff,8,10,0.5555555555555556
892a1008b0fffff,21,8,0.27586206896551724
892a1008b13ffff,4,0,0.0
892a1008b17ffff,26,22,0.4583333333333333
892a1008b23ffff,18,10,0.35714285714285715
892a1008b27ffff,41,54,0.5684210526315789
892a1008b2bffff,13,13,0.5
892a1008b2fffff,19,16,0.45714285714285713
892a1008b33ffff,6,23,0.7931034482758621
892a1008b37ffff,29,42,0.5915492957746479
892a1008b3bffff,17,11,0.39285714285714285
892a1008b67ffff,2,0,0.0
892a1008b83ffff,21,34,0.6181818181818182
892a1008b87ffff,25,27,0.5192307692307693
892a1008b8bffff,5,0,0.0
892a1008b8fffff,21,41,0.6612903225806451
892a1008b93ffff,21,31,0.5961538461538461
892a1008b97ffff,6,14,0.7
892a1008b9bffff,3,1,0.25
892a1008ba3ffff,40,21,0.3442622950819672
892a1008ba7ffff,5,4,0.4444444444444444
892a1008babffff,21,29,0.58
892a1008bafffff,35,47,0.573170731707317
892a1008bb3ffff,23,19,0.4523809523809524
892a1008bb7ffff,6,4,0.4
892a1008bbbffff,14,37,0.7254901960784313
892a1008c03ffff,1,0,0.0
892a1008c07ffff,0,7,1.0
892a1008c13ffff,1,0,0.0
892a1008c17ffff,1,2,0.6666666666666666
892a1008c23ffff,4,5,0.5555555555555556
892a1008c27ffff,2,3,0.6
892a1008c2bffff,6,9,0.6
892a1008c2fffff,1,8,0.8888888888888888
892a1008c33ffff,1,4,0.8
892a1008c37ffff,5,3,0.375
892a1008c3bffff,3,6,0.6666666666666666
892a1008c67ffff,1,0,0.0
892a1008c77ffff,1,0,0.0
892a1008c83ffff,0,1,1.0
892a1008c87ffff,2,0,0.0
892a1008c8fffff,2,5,0.7142857142857143
892a1008c97ffff,1,0,0.0
892a1008c9bffff,3,0,0.0
892a1008ca3ffff,1,0,0.0
892a1008ca7ffff,1,1,0.5
892a1008cabffff,0,2,1.0
892a1008cafffff,2,1,0.3333333333333333
892a1008cb7ffff,3,0,0.0
892a1008d07ffff,0,1,1.0
892a1008d0bffff,0,3,1.0
892a1008d0fffff,1,0,0.0
892a1008d13ffff,0,1,1.0
892a1008d17ffff,2,5,0.7142857142857143
892a1008d1bffff,2,4,0.6666666666666666
892a1008d23ffff,0,3,1.0
892a1008d2bffff,2,2,0.5
892a1008d2fffff,1,3,0.75
892a1008d33ffff,1,5,0.8333333333333334
892a1008d37ffff,1,0,0.0
892a1008d3bffff,0,4,1.0
892a1008d43ffff,7,3,0.3
892a1008d47ffff,0,1,1.0
892a1008d4bffff,0,7,1.0
892a1008d4fffff,1,0,0.0
892a1008d53ffff,6,3,0.3333333333333333
892a1008d57ffff,2,1,0.3333333333333333
892a1008d5bffff,3,0,0.0
892a1008d63ffff,1,3,0.75
892a1008d67ffff,4,5,0.5555555555555556
892a1008d6fffff,3,3,0.5
892a1008d73ffff,0,1,1.0
892a1008d83ffff,0,2,1.0
892a1008d8bffff,3,2,0.4
892a1008d8fffff,1,1,0.5
892a1008d97ffff,1,0,0.0
892a1008d9bffff,2,1,0.3333333333333333
892a1008da3ffff,3,0,0.0
892a1008dabffff,0,2,1.0
892a1008dafffff,1,0,0.0
892a1008db7ffff,1,0,0.0
892a1008dbbffff,1,3,0.75
892a1008dc3ffff,1,0,0.0
892a1008dc7ffff,1,0,0.0
892a1008dcbffff,2,1,0.3333333333333333
892a1008dcfffff,1,0,0.0
892a1008dd3ffff,9,1,0.1
892a1008dd7ffff,0,3,1.0
892a1008ddbffff,0,1,1.0
892a100a107ffff,1,0,0.0
892a100a10fffff,0,1,1.0
892a100a117ffff,1,0,0.0
892a100a12bffff,1,0,0.0
892a100a167ffff,1,0,0.0
892a100aa03ffff,1,1,0.5
892a100aa07ffff,2,1,0.3333333333333333
892a100aa13ffff,0,2,1.0
892a100aa23ffff,5,0,0.0
892a100aa27ffff,1,1,0.5
892a100aa2bffff,0,1,1.0
892a100aa2fffff,1,0,0.0
892a100aa3bffff,1,1,0.5
892a100aa77ffff,0,1,1.0
892a100aa83ffff,2,0,0.0
892a100aa8bffff,5,0,0.0
892a100aa8fffff,4,0,0.0
892a100aa93ffff,0,1,1.0
892a100aa9bffff,1,0,0.0
892a100aaabffff,1,0,0.0
892a100aaafffff,1,0,0.0
892a100aac7ffff,0,1,1.0
892a100ab43ffff,0,1,1.0
892a100ab47ffff,4,0,0.0
892a100ab4bffff,2,0,0.0
892a100ab4fffff,2,1,0.3333333333333333
892a100ab5bffff,1,0,0.0
892a100ab63ffff,4,0,0.0
892a100ab67ffff,0,1,1.0
892a100ab6bffff,2,0,0.0
892a100ab6fffff,4,0,0.0
892a100ab73ffff,0,1,1.0
892a100ab77ffff,2,0,0.0
892a100ab7bffff,1,2,0.6666666666666666
892a100abcbffff,1,0,0.0
892a100ae03ffff,1,0,0.0
892a100ae07ffff,1,0,0.0
892a100ae0bffff,3,0,0.0
892a100ae1bffff,0,1,1.0
892a100ae23ffff,0,1,1.0
892a100ae2bffff,0,1,1.0
892a100ae3bffff,2,0,0.0
892a100ae63ffff,2,1,0.3333333333333333
892a100ae67ffff,12,1,0.07692307692307693
892a100ae73ffff,5,0,0.0
892a100ae77ffff,1,1,0.5
892a100ae7bffff,1,0,0.0
892a100aeabffff,1,0,0.0
892a100c873ffff,3,0,0.0
892a100c87bffff,1,0,0.0
892a100c88bffff,2,0,0.0
892a100ca4bffff,1,0,0.0
892a100ca7bffff,1,0,0.0
892a100cab3ffff,1,0,0.0
892a100cb73ffff,1,0,0.0
892a100cbcbffff,1,0,0.0
892a100ce07ffff,1,0,0.0
892a100d023ffff,6,0,0.0
892a100d027ffff,4,0,0.0
892a100d02bffff,1,0,0.0
892a100d02fffff,4,0,0.0
892a100d033ffff,3,0,0.0
892a100d037ffff,1,0,0.0
892a100d04bffff,33,19,0.36538461538461536
892a100d04fffff,2,0,0.0
892a100d05bffff,14,7,0.3333333333333333
892a100d0dbffff,6,1,0.14285714285714285
892a100d103ffff,1,0,0.0
892a100d107ffff,2,1,0.3333333333333333
892a100d10bffff,2,1,0.3333333333333333
892a100d10fffff,3,0,0.0
892a100d113ffff,2,0,0.0
892a100d117ffff,2,1,0.3333333333333333
892a100d11bffff,1,0,0.0
892a100d123ffff,3,0,0.0
892a100d127ffff,2,1,0.3333333333333333
892a100d12bffff,5,0,0.0
892a100d12fffff,6,0,0.0
892a100d137ffff,2,0,0.0
892a100d13bffff,1,0,0.0
892a100d143ffff,4,1,0.2
892a100d147ffff,10,2,0.16666666666666666
892a100d14fffff,3,0,0.0
892a100d153ffff,6,0,0.0
892a100d157ffff,6,0,0.0
892a100d15bffff,3,1,0.25
892a100d163ffff,4,0,0.0
892a100d167ffff,1,0,0.0
892a100d16bffff,13,0,0.0
892a100d16fffff,9,0,0.0
892a100d173ffff,6,0,0.0
892a100d177ffff,2,0,0.0
892a100d17bffff,1,0,0.0
892a100d1cfffff,2,0,0.0
892a100d203ffff,50,66,0.5689655172413793
892a100d207ffff,58,65,0.5284552845528455
892a100d20bffff,92,62,0.4025974025974026
892a100d20fffff,98,65,0.3987730061349693
892a100d213ffff,80,46,0.36507936507936506
892a100d217ffff,55,57,0.5089285714285714
892a100d21bffff,92,66,0.4177215189873418
892a100d223ffff,36,39,0.52
892a100d227ffff,18,26,0.5909090909090909
892a100d22bffff,56,65,0.5371900826446281
892a100d22fffff,34,32,0.48484848484848486
892a100d233ffff,26,24,0.48
892a100d237ffff,15,21,0.5833333333333334
892a100d23bffff,51,47,0.47959183673469385
892a100d243ffff,23,25,0.5208333333333334
