infered_area_id,total_ubertaxi_rides,total_yellowtaxi_rides,infered_area_geometry,market_potential
-1,3091,1426,"POLYGON ((-74.1148 40.3082, -73.417 40.7735, -73.47150000000001 41.0768, -73.8634 41.0794, -74.15779999999999 40.9859, -74.4511 40.8482, -74.6377 40.6375, -74.5993 40.3554, -74.1148 40.3082))",0.3156962585787027
0,37,0,"POLYGON ((-74.18300000000001 40.688, -74.1825 40.6877, -74.18129999999999 40.6878, -74.181 40.6879, -74.1807 40.6881, -74.18300000000001 40.6881, -74.18300000000001 40.688))",0.0
1,20,0,"POLYGON ((-73.6026 40.7382, -73.6585 40.813, -73.7047 40.8021, -73.73520000000001 40.7723, -73.7255 40.7643, -73.6242 40.712, -73.6052 40.7098, -73.6026 40.7382))",0.0
2,17,0,"POLYGON ((-74.1786 40.6902, -74.178 40.6901, -74.1776 40.6906, -74.1771 40.6914, -74.17699999999998 40.6918, -74.1781 40.6908, -74.1782 40.6907, -74.1786 40.6902))",0.0
3,55,0,"POLYGON ((-74.1806 40.6951, -74.1763 40.6934, -74.1771 40.695, -74.1772 40.6951, -74.17789999999999 40.6956, -74.1785 40.6956, -74.1798 40.6953, -74.1806 40.6951))",0.0
4,14,1,"POLYGON ((-73.9109 40.6412, -73.9075 40.6371, -73.896637 40.639948, -73.8848 40.6505, -73.8479 40.6837, -73.8424 40.6899, -73.8502 40.6906, -73.88330000000001 40.6703, -73.9109 40.6412))",0.06666666666666667
5,50,3,"POLYGON ((-73.7997 40.6864, -73.7786 40.7022, -73.7816 40.7133, -73.80329999999999 40.7293, -73.8184 40.7386, -73.8192 40.7387, -73.8693 40.7341, -73.86399999999998 40.7198, -73.8095 40.6901, -73.7997 40.6864))",0.05660377358490566
6,32,24,"POLYGON ((-73.78618399999999 40.645435, -73.783325 40.646582, -73.7824 40.6484, -73.7824 40.6487, -73.783474 40.648756, -73.78453499999999 40.648692, -73.78522 40.64850999999999, -73.785425 40.648332, -73.7856 40.6481, -73.78618399999999 40.645435))",0.42857142857142855
7,45,26,"POLYGON ((-73.788 40.6473, -73.78818199999999 40.647384, -73.78968499999999 40.647347, -73.79049999999999 40.6469, -73.79321 40.645035, -73.7911 40.6455, -73.78959499999999 40.64621, -73.788 40.6473))",0.36619718309859156
8,17,0,"POLYGON ((-73.9136 40.8927, -73.9089 40.8812, -73.8993 40.8928, -73.8991 40.8942, -73.90100000000002 40.8993, -73.9011 40.8995, -73.9136 40.8927))",0.0
